set_code,name,series,generation,release_date,printed_total,total,symbol_url,logo_url,source,source_id
sv1,Scarlet & Violet,Scarlet & Violet,,2023-03-31,198,258,https://images.pokemontcg.io/sv1/symbol.png,https://images.pokemontcg.io/sv1/logo.png,pokemon_tcg_api,sv1
sv2,Paldea Evolved,Scarlet & Violet,,2023-06-09,193,279,https://images.pokemontcg.io/sv2/symbol.png,https://images.pokemontcg.io/sv2/logo.png,pokemon_tcg_api,sv2
sv3,Obsidian Flames,Scarlet & Violet,,2023-08-11,197,230,https://images.pokemontcg.io/sv3/symbol.png,https://images.pokemontcg.io/sv3/logo.png,pokemon_tcg_api,sv3
sv3pt5,151,Scarlet & Violet,,2023-09-22,165,207,https://images.pokemontcg.io/sv3pt5/symbol.png,https://images.pokemontcg.io/sv3pt5/logo.png,pokemon_tcg_api,sv3pt5
sv4,Paradox Rift,Scarlet & Violet,,2023-11-03,182,266,https://images.pokemontcg.io/sv4/symbol.png,https://images.pokemontcg.io/sv4/logo.png,pokemon_tcg_api,sv4
sv45,Paldean Fates,Scarlet & Violet,,2024-01-26,91,245,https://images.pokemontcg.io/sv4pt5/symbol.png,https://images.pokemontcg.io/sv4pt5/logo.png,pokemon_tcg_api,sv4pt5
sv5,Temporal Forces,Scarlet & Violet,,2024-03-22,162,218,https://images.pokemontcg.io/sv5/symbol.png,https://images.pokemontcg.io/sv5/logo.png,pokemon_tcg_api,sv5
sv6,Twilight Masquerade,Scarlet & Violet,,2024-05-24,167,226,https://images.pokemontcg.io/sv6/symbol.png,https://images.pokemontcg.io/sv6/logo.png,pokemon_tcg_api,sv6
sv6pt5,Shrouded Fable,Scarlet & Violet,,2024-08-02,64,99,https://images.pokemontcg.io/sv6pt5/symbol.png,https://images.pokemontcg.io/sv6pt5/logo.png,pokemon_tcg_api,sv6pt5
sv7,Stellar Crown,Scarlet & Violet,,2024-09-13,142,175,https://images.pokemontcg.io/sv7/symbol.png,https://images.pokemontcg.io/sv7/logo.png,pokemon_tcg_api,sv7
sv8,Surging Sparks,Scarlet & Violet,,2024-11-08,191,252,https://images.pokemontcg.io/sv8/symbol.png,https://images.pokemontcg.io/sv8/logo.png,pokemon_tcg_api,sv8
