set_code,name,series,generation,release_date,printed_total,total,symbol_url,logo_url,source,source_id
sv3,Obsidian Flames,,,,,,,,manual_review,
swsh12,Silver Tempest,,,,,,,,manual_review,
swsh11,Lost Origin,,,,,,,,manual_review,
swsh10,Astral Radiance,,,,,,,,manual_review,
swsh8,Fusion Strike,,,,,,,,manual_review,
swsh12pt5,Crown Zenith,,,,,,,,manual_review,
pgo,Pokémon GO,,,,,,,,manual_review,
swsh9,Brilliant Stars,,,,,,,,manual_review,
swsh7,Evolving Skies,,,,,,,,manual_review,
sv1,Scarlet & Violet,,,,,,,,manual_review,
sv2,Paldea Evolved,,,,,,,,manual_review,
sv45,Paldean Fates,,,,,,,,manual_review,
sv6,Twilight Masquerade,,,,,,,,manual_review,
sv7,Stellar Crown,,,,,,,,manual_review,
sv8,Surging Sparks,,,,,,,,manual_review,
sv9,Journey Together,,,,,,,,manual_review,
sv10,Destined Rivals,,,,,,,,manual_review,
